ALMACEN,HUECO,CODIGO,DESCRIPCION,CANTIDAD,UNIDAD,PIEZAS,COSTO ESTANDAR,COSTO TOTAL ESTANDAR
4E BRANDS EUA,LAREDO_ASIMEX,3071787,HALF PALLET LIQUID HAND SOAP BLUMEN MINION 3D 16.9 FL OZ,9348.00,PIEZA,9348.00,3.09,28885.3200 
4E BRANDS EUA,LAREDO_ASIMEX,3161334,2 IN 1 SHAMPOO FROZEN ELSA 3D 13.5 FL OZ + OLAF 3D 11.8 FL OZ,168.00,PIEZA,168.00,2.92,490.5600 
4E BRANDS EUA,LAREDO_ASIMEX,4051331,HAND SANITIZER ASSURED ALOE 10 FL OZ 24PCS 24/410,64.00,CAJA,1536.00,0.45,691.2000 
4E BRANDS EUA,LAREDO_ASIMEX,4071213,KLAR DANVER LIQUID HAND SOAP APPLE FIELDS 443ML CLEANSES MOISTURIZES 443ML 24PZ,8580.00,CAJA,205920.00,0.39,80308.8000 
4E BRANDS EUA,LAREDO_ASIMEX,4071214, KLAR DANVER LIQUID HAND SOAP BERRY DELICIOUS CLEANSES MOISTURIZES 443ML 24CPS,7128.00,CAJA,171072.00,0.39,66718.0800 
4E BRANDS EUA,LAREDO_ASIMEX,4071440,KLAR DANVER ANTIBACTERIAL LIQUID HAND SOAP SOFT CLEAN SCENT 443ML 24PZ ,5016.00,CAJA,120384.00,0.41,49357.4400 
4E BRANDS EUA,LAREDO_ASIMEX,4071442,KLAR DANVER LIQUID HAND SOAP OCEAN FRESH CLEANSES MOISTURIZES 443ML 24PCS,4356.00,CAJA,104544.00,0.39,40772.1600 
4E BRANDS EUA,LAREDO_ASIMEX,4071953,HAND SOAP BLUMEN CALYPSO MANGO USA 7.5 FL OZ 12PCS,420.00,CAJA,5040.00,0.28,1411.2000 
4E BRANDS EUA,LAREDO_ASIMEX,4071954,HAND SOAP BLUMEN COCONUT PARADISE USA 7.5 FL OZ 12PCS,210.00,CAJA,2520.00,0.29,730.8000 
4E BRANDS EUA,LAREDO_ASIMEX,4071955,HAND SOAP BLUMEN GREEN TEA HONEY USA 7.5 FL OZ 12PCS,210.00,CAJA,2520.00,0.29,730.8000 
