ALMACEN,HUECO,CODIGO,DESCRIPCION,CANTIDAD,UNIDAD,PIEZAS,COSTO ESTANDAR,COSTO TOTAL ESTANDAR
4G_1D ETIQUETAS,EA-001-1,1041473,ETIQUETA FRENTE GEL ANTIBACTERIAL BLUMEN CITRUS 120ML ,64260.00,PIEZA,64260.00,0.25,16065.0000 
4G_1D ETIQUETAS,EA-001-1,1041474,ETIQUETA REVERSO GEL ANTIBACTERIAL BLUMEN CITRUS 120ML,80200.00,PIEZA,80200.00,0.09,7218.0000 
4G_1D ETIQUETAS,EA-001-1,1041479,ETIQUETA FRENTE JABON LIQUIDO BLUMEN NATURAL ORANGE 525ML,80200.00,PIEZA,80200.00,0.36,28872.0000 
4G_1D ETIQUETAS,EA-001-1,1042042,ETIQUETA REVERSO GEL ANTIBACTERIAL BLUMEN CITRUS 80ML,70.00,PIEZA,70.00,0.03,2.1000 
4G_1D ETIQUETAS,EA-001-1,1042044,ETIQUETA REVERSO GEL ANTIBACTERIAL BLUMEN NEUTRO 80ML,1980.00,PIEZA,1980.00,0.03,59.4000 
4G_1D ETIQUETAS,EA-001-1,1044247,ETIQUETA FRENTE GEL ANTIBACTERIAL BLUMEN NEUTRO 221ML,17500.00,PIEZA,17500.00,0.32,5600.0000 
4G_1D ETIQUETAS,EA-001-1,1044473,ETIQUETA FRENTE MULTI PURPOSE ANIMAL PLANET 22 FL OZ ,64260.00,PIEZA,64260.00,0.37,23776.2000 
4G_1D ETIQUETAS,EA-001-1,1044496,ETIQUETA FRENTE GEL ANTIBACTERIAL BLUMEN CITRUS 80ML,434.00,PIEZA,434.00,1.16,503.4400 
4G_1D ETIQUETAS,EA-001-1,1045063,ETIQUETA FRENTE NUEVA GEL ANTIBACTERIAL BLUMEN CITRUS 80ML,11550.00,PIEZA,11550.00,0.18,2079.0000 
4G_1D ETIQUETAS,EA-001-1,1045064,ETIQUETA REVERSO NUEVA GEL ANTIBACTERIAL BLUMEN CITRUS 80ML,56900.00,PIEZA,56900.00,0.66,37554.0000 
4G_1D ETIQUETAS,EA-001-1,1045065,ETIQUETA FRENTE NUEVA GEL ANTIBACTERIAL BLUMEN NEUTRO 80ML,43200.00,PIEZA,43200.00,0.10,4320.0000 
4G_1D ETIQUETAS,EA-001-1,1045066,ETIQUETA REVERSO NUEVA GEL ANTIBACTERIAL BLUMEN NEUTRO 80ML,88400.00,PIEZA,88400.00,0.09,7956.0000 
4G_1D ETIQUETAS,EA-001-1,1045369,ETIQUETA FRENTE GEL ANTIBACTERIAL BLUMEN CITRUS 375ML,10059.00,PIEZA,10059.00,0.34,3420.0600 
4G_1D ETIQUETAS,EA-001-1,1045618,ETIQUETA FRENTE JABON LIQUIDO SOLEI CALABAZA OJOS 435ML,4000.00,PIEZA,4000.00,0.26,1040.0000 
4G_1D ETIQUETAS,EA-001-1,1045634,ETIQUETA FRENTE GEL ANTIBACTERIAL BLUMEN CITRUS 30ML,12711.00,PIEZA,12711.00,0.01,127.1100 
4G_1D ETIQUETAS,EA-001-1,1046094,ETIQUETA FRENTE SHAMPOO BIOVITAL MIEL Y MANZANILLA 500ML,35178.00,PIEZA,35178.00,0.12,4221.3600 
